nitrogen,phosphorus,potassium,rainfall,temperature,soil,season,irrigation,label
35,36,96,212,31,loamy,rabi,no,rice
64,83,79,61,27,clay,rabi,yes,maize
39,79,82,298,19,loamy,kharif,yes,wheat
33,19,78,130,24,clay,kharif,no,cotton
90,64,53,69,18,sandy,kharif,yes,cotton
15,46,19,138,31,sandy,kharif,no,cotton
81,99,49,100,25,clay,kharif,yes,maize
100,86,44,60,18,loamy,kharif,no,sugarcane
42,96,17,63,40,clay,zaid,yes,maize
75,49,40,150,39,loamy,kharif,yes,wheat
15,82,83,142,17,clay,kharif,no,rice
58,16,74,54,24,loamy,rabi,yes,sugarcane
78,93,59,93,38,sandy,rabi,yes,wheat
30,44,10,143,32,loamy,kharif,no,rice
75,23,70,53,15,loamy,zaid,no,cotton
76,30,15,193,23,sandy,rabi,yes,cotton
100,35,54,105,40,loamy,kharif,yes,cotton
90,84,83,136,18,sandy,kharif,no,cotton
70,74,88,168,19,loamy,kharif,yes,sugarcane
40,96,25,158,22,sandy,zaid,yes,cotton
17,71,17,89,38,sandy,zaid,no,wheat
37,64,63,260,39,clay,kharif,yes,wheat
86,11,57,293,15,loamy,rabi,no,cotton
64,10,62,244,29,sandy,kharif,yes,rice
59,77,33,144,26,sandy,zaid,yes,sugarcane
89,79,63,222,28,clay,rabi,no,rice
40,94,91,168,19,sandy,kharif,yes,sugarcane
27,41,64,253,40,sandy,rabi,no,cotton
62,55,29,242,26,loamy,zaid,yes,wheat
84,56,46,209,31,loamy,zaid,no,wheat
82,80,89,169,23,sandy,rabi,yes,wheat
14,57,68,70,25,loamy,zaid,no,maize
28,18,54,221,18,sandy,kharif,yes,wheat
65,58,86,124,17,loamy,rabi,no,cotton
49,35,93,255,21,loamy,rabi,no,rice
85,95,92,254,28,sandy,kharif,no,maize
47,100,49,146,19,clay,zaid,no,wheat
15,52,94,197,32,clay,rabi,no,cotton
56,59,68,157,20,loamy,kharif,no,wheat
50,77,51,239,32,sandy,rabi,no,rice
76,65,38,298,29,clay,rabi,yes,wheat
48,49,71,156,21,sandy,kharif,yes,rice
35,75,50,190,36,loamy,rabi,no,maize
89,36,55,204,17,clay,kharif,yes,rice
44,23,46,190,16,loamy,rabi,no,maize
85,76,30,288,16,sandy,rabi,no,rice
65,83,45,244,34,loamy,zaid,yes,rice
96,99,21,280,17,clay,kharif,no,wheat
21,70,67,131,23,clay,zaid,no,wheat
84,93,87,157,36,sandy,zaid,yes,cotton
25,13,74,160,30,sandy,rabi,yes,maize
78,22,34,98,36,loamy,zaid,no,sugarcane
92,70,88,78,31,sandy,rabi,no,maize
51,100,74,106,36,loamy,rabi,yes,maize
67,97,85,243,26,sandy,rabi,yes,rice
85,24,51,222,15,loamy,zaid,no,maize
88,84,19,50,32,sandy,kharif,yes,maize
13,85,39,120,20,sandy,kharif,yes,maize
36,100,55,259,16,sandy,kharif,yes,cotton
83,67,76,182,17,clay,kharif,yes,cotton
99,24,83,177,27,clay,rabi,no,rice
50,66,45,255,25,clay,zaid,yes,wheat
12,62,71,75,35,clay,zaid,yes,maize
99,93,39,284,18,clay,kharif,yes,rice
90,71,63,263,32,sandy,kharif,yes,rice
21,38,100,81,28,clay,kharif,no,cotton
44,63,78,127,23,loamy,rabi,yes,wheat
39,68,43,78,20,loamy,rabi,yes,maize
73,40,20,135,29,sandy,zaid,no,wheat
59,13,63,215,35,loamy,rabi,no,maize
26,58,82,185,26,loamy,kharif,yes,wheat
26,99,39,101,22,sandy,rabi,no,cotton
59,83,18,291,30,clay,rabi,yes,sugarcane
65,92,39,132,29,loamy,rabi,no,maize
39,18,53,200,18,clay,zaid,yes,sugarcane
55,84,50,127,23,clay,zaid,yes,rice
27,62,53,203,17,sandy,rabi,yes,maize
99,27,68,192,19,sandy,kharif,no,rice
10,30,35,161,26,sandy,zaid,yes,sugarcane
20,71,39,286,15,sandy,zaid,yes,rice
71,83,21,136,31,clay,rabi,no,maize
79,97,17,226,16,loamy,rabi,yes,sugarcane
90,26,30,67,35,sandy,rabi,no,sugarcane
23,23,97,250,21,sandy,kharif,yes,wheat
21,98,37,60,33,loamy,rabi,no,maize
70,95,34,76,32,sandy,kharif,yes,maize
89,61,27,190,19,clay,rabi,yes,maize
43,40,55,88,21,clay,rabi,no,rice
14,88,48,127,35,sandy,rabi,no,wheat
65,86,94,201,30,loamy,rabi,yes,sugarcane
97,47,47,280,34,sandy,zaid,yes,sugarcane
88,92,59,215,30,clay,rabi,yes,rice
47,43,81,136,17,loamy,rabi,no,sugarcane
77,45,31,168,37,loamy,rabi,no,maize
24,50,10,109,18,sandy,rabi,no,cotton
49,69,96,283,18,loamy,zaid,yes,wheat
75,70,56,221,33,loamy,zaid,yes,cotton
66,11,93,131,23,sandy,rabi,no,wheat
57,23,37,214,40,sandy,kharif,yes,maize
18,10,26,114,36,clay,zaid,no,sugarcane
31,78,23,89,28,sandy,zaid,no,sugarcane
31,43,17,279,17,clay,zaid,no,cotton
97,66,27,74,27,sandy,zaid,yes,wheat
38,89,46,98,27,loamy,rabi,no,rice
66,39,38,266,36,sandy,zaid,no,wheat
20,75,39,235,24,sandy,kharif,yes,sugarcane
72,14,74,251,24,loamy,zaid,no,rice
66,88,25,220,19,sandy,rabi,yes,rice
41,87,30,167,30,loamy,kharif,no,cotton
45,51,79,184,40,loamy,zaid,yes,cotton
28,92,12,174,22,clay,zaid,yes,wheat
27,26,29,206,30,sandy,kharif,no,cotton
45,88,39,184,39,clay,zaid,yes,sugarcane
53,24,39,216,36,loamy,kharif,yes,maize
61,14,84,228,16,clay,zaid,no,sugarcane
36,21,53,294,30,clay,kharif,yes,wheat
86,65,48,299,25,sandy,kharif,no,cotton
43,20,67,77,22,sandy,zaid,no,sugarcane
52,82,80,100,17,clay,rabi,no,rice
84,55,14,83,36,clay,zaid,yes,maize
44,75,11,111,24,loamy,rabi,yes,wheat
28,88,98,94,17,sandy,kharif,yes,maize
41,33,69,156,34,sandy,zaid,no,rice
76,70,51,183,31,clay,zaid,no,rice
29,68,24,94,33,sandy,rabi,no,cotton
41,82,75,135,35,sandy,zaid,yes,rice
54,97,11,136,39,sandy,zaid,no,wheat
72,34,67,173,35,sandy,rabi,yes,rice
86,26,16,210,39,sandy,zaid,yes,sugarcane
40,28,83,180,26,clay,zaid,yes,wheat
95,29,66,110,23,sandy,rabi,yes,wheat
73,55,12,288,24,sandy,zaid,yes,rice
98,19,62,240,26,clay,rabi,no,maize
66,51,91,209,33,clay,kharif,yes,rice
90,18,99,146,19,clay,zaid,yes,rice
14,68,19,149,21,clay,rabi,no,cotton
60,81,49,135,28,clay,rabi,no,rice
66,60,12,171,30,sandy,rabi,yes,maize
30,97,93,71,17,loamy,rabi,no,rice
62,50,95,239,38,clay,zaid,yes,rice
47,99,50,281,31,clay,kharif,yes,maize
64,11,80,278,30,clay,kharif,yes,wheat
79,69,42,53,36,loamy,zaid,yes,sugarcane
94,38,49,193,35,clay,rabi,no,rice
28,94,14,192,37,loamy,rabi,yes,cotton
44,21,22,107,15,clay,zaid,yes,sugarcane
63,73,15,206,27,clay,kharif,yes,sugarcane
34,57,40,292,30,loamy,zaid,yes,sugarcane
19,82,55,177,29,loamy,zaid,no,sugarcane
81,37,32,51,38,sandy,zaid,yes,rice
83,49,20,270,15,loamy,zaid,no,sugarcane
90,51,80,178,21,loamy,zaid,no,rice
82,39,66,267,28,clay,rabi,yes,sugarcane
63,51,37,162,27,loamy,rabi,yes,maize
32,17,83,208,38,loamy,zaid,no,cotton
19,61,38,81,25,loamy,zaid,yes,wheat
46,81,77,185,21,sandy,zaid,no,wheat
81,41,51,289,30,loamy,kharif,yes,maize
54,54,68,201,23,loamy,rabi,yes,wheat
76,12,43,263,20,clay,kharif,yes,maize
87,84,78,172,17,clay,kharif,yes,cotton
47,30,66,160,15,loamy,rabi,yes,cotton
95,11,83,141,37,sandy,zaid,yes,sugarcane
60,44,79,121,17,loamy,zaid,yes,rice
94,46,74,165,27,clay,rabi,yes,maize
11,19,10,264,34,clay,rabi,no,sugarcane
70,35,16,279,39,loamy,kharif,no,wheat
39,88,89,152,30,loamy,rabi,no,rice
58,51,17,248,39,loamy,kharif,no,wheat
48,81,83,76,17,clay,rabi,yes,wheat
66,86,27,139,26,loamy,zaid,no,sugarcane
14,66,12,74,19,sandy,rabi,yes,cotton
96,63,81,209,18,clay,kharif,yes,sugarcane
26,80,76,277,32,sandy,zaid,yes,rice
81,26,12,253,40,loamy,kharif,yes,maize
36,99,24,144,32,clay,zaid,no,wheat
59,87,67,293,32,clay,zaid,yes,sugarcane
97,19,50,70,16,sandy,zaid,no,wheat
52,20,91,171,39,loamy,kharif,no,cotton
84,33,81,111,34,sandy,rabi,yes,cotton
25,34,72,229,32,loamy,zaid,no,wheat
89,38,29,251,24,loamy,zaid,no,wheat
58,36,52,74,36,sandy,rabi,yes,sugarcane
67,75,89,278,32,sandy,rabi,no,cotton
87,79,39,182,15,clay,zaid,no,maize
11,100,16,182,40,clay,kharif,yes,maize
70,90,55,51,40,clay,rabi,no,sugarcane
87,15,65,173,24,sandy,rabi,yes,sugarcane
26,32,81,202,35,clay,kharif,no,rice
94,93,16,164,26,clay,zaid,yes,cotton
52,48,46,174,27,clay,kharif,yes,wheat
24,41,81,274,34,sandy,zaid,no,cotton
72,12,66,220,36,sandy,rabi,no,sugarcane
88,32,79,101,35,loamy,zaid,yes,maize
42,25,72,113,19,clay,rabi,no,wheat
28,31,90,214,37,loamy,kharif,yes,maize
79,48,38,115,22,sandy,zaid,yes,maize
70,20,53,176,19,loamy,rabi,no,cotton
66,64,72,232,32,loamy,kharif,no,sugarcane
48,37,95,179,26,sandy,zaid,no,cotton
44,28,60,296,25,loamy,rabi,yes,sugarcane
74,54,82,203,27,sandy,rabi,yes,cotton
85,79,95,73,20,sandy,zaid,yes,sugarcane
37,83,51,260,38,clay,rabi,yes,maize
57,61,100,116,16,clay,kharif,yes,cotton
87,28,86,284,33,loamy,kharif,no,maize
49,18,91,90,28,clay,zaid,no,sugarcane
74,20,17,115,34,sandy,rabi,yes,maize
91,57,50,163,30,loamy,zaid,no,cotton
82,26,98,166,19,sandy,kharif,no,cotton
50,41,17,151,40,sandy,zaid,yes,rice
32,88,18,157,31,clay,rabi,no,maize
72,11,39,283,15,loamy,rabi,no,wheat
43,58,77,218,22,sandy,zaid,no,cotton
73,65,29,186,19,sandy,kharif,yes,cotton
23,53,73,214,24,loamy,rabi,no,sugarcane
20,48,37,244,16,sandy,zaid,yes,wheat
86,95,37,205,38,clay,zaid,no,wheat
99,45,17,111,30,clay,rabi,no,maize
58,19,48,79,22,loamy,rabi,no,wheat
83,86,85,178,21,clay,zaid,yes,wheat
53,25,91,196,26,clay,rabi,yes,wheat
11,93,15,156,34,loamy,rabi,yes,wheat
37,81,80,227,36,clay,rabi,yes,sugarcane
62,64,16,119,32,sandy,zaid,yes,sugarcane
81,28,77,52,33,loamy,zaid,yes,wheat
56,97,83,134,35,sandy,kharif,yes,sugarcane
27,67,68,200,22,loamy,zaid,yes,sugarcane
69,41,87,238,40,clay,rabi,yes,rice
35,14,27,180,26,clay,rabi,no,sugarcane
71,13,12,114,17,loamy,rabi,no,sugarcane
64,83,72,250,15,loamy,rabi,no,maize
11,69,32,177,39,clay,zaid,no,sugarcane
44,54,80,216,15,clay,zaid,yes,rice
55,66,11,89,20,loamy,kharif,yes,rice
44,90,58,268,18,clay,zaid,yes,sugarcane
88,56,25,68,15,sandy,zaid,no,maize
78,32,10,169,39,sandy,kharif,no,maize
43,66,82,260,36,sandy,kharif,no,wheat
97,50,79,261,22,loamy,kharif,no,cotton
99,97,61,244,16,clay,kharif,no,wheat
93,76,11,222,37,clay,kharif,no,rice
71,64,24,114,20,clay,kharif,yes,sugarcane
22,87,56,216,31,sandy,zaid,no,sugarcane
10,47,52,184,20,clay,zaid,no,rice
26,41,28,152,27,loamy,rabi,yes,maize
64,23,82,187,39,loamy,zaid,yes,wheat
51,77,22,99,35,clay,kharif,no,sugarcane
92,49,26,165,27,loamy,kharif,yes,cotton
59,45,49,291,17,clay,rabi,no,sugarcane
25,60,43,122,29,clay,kharif,yes,rice
70,100,61,263,31,loamy,kharif,no,wheat
13,46,100,162,35,loamy,rabi,yes,wheat
70,62,36,90,38,sandy,zaid,no,cotton
63,71,80,60,17,loamy,zaid,no,maize
81,90,90,197,29,loamy,zaid,yes,maize
47,90,47,233,26,sandy,rabi,no,cotton
65,93,35,239,28,clay,zaid,no,maize
44,28,61,241,35,sandy,zaid,yes,sugarcane
51,59,75,181,17,loamy,rabi,no,rice
72,10,76,69,23,clay,kharif,yes,rice
29,88,65,77,16,clay,kharif,yes,cotton
12,40,11,74,22,loamy,kharif,no,maize
92,38,82,111,32,sandy,zaid,no,cotton
27,37,66,229,18,loamy,kharif,yes,cotton
25,86,94,90,38,sandy,rabi,no,wheat
19,87,48,84,26,loamy,rabi,no,cotton
94,65,34,232,25,sandy,kharif,yes,cotton
41,55,74,202,38,clay,rabi,yes,rice
26,46,61,142,17,loamy,rabi,no,rice
27,14,77,97,40,clay,rabi,no,wheat
90,67,70,239,36,clay,kharif,yes,wheat
12,34,24,77,19,loamy,zaid,no,maize
33,79,34,92,31,clay,zaid,yes,cotton
18,32,41,223,30,loamy,rabi,no,wheat
100,85,46,228,38,clay,zaid,yes,cotton
47,20,86,119,33,loamy,zaid,yes,sugarcane
82,16,63,60,37,sandy,rabi,no,sugarcane
86,91,34,71,34,clay,kharif,no,rice
11,50,93,121,37,loamy,zaid,yes,wheat
13,62,93,298,35,loamy,rabi,yes,wheat
12,81,61,185,19,clay,kharif,yes,sugarcane
57,35,46,88,17,clay,rabi,no,wheat
81,95,64,213,35,clay,zaid,no,cotton
12,63,45,179,16,sandy,kharif,no,rice
96,87,24,184,18,clay,kharif,yes,wheat
96,36,36,103,25,sandy,rabi,yes,wheat
77,45,36,146,30,sandy,kharif,yes,maize
94,34,21,252,40,loamy,zaid,yes,sugarcane
82,31,77,203,32,loamy,zaid,no,rice
31,96,97,64,37,sandy,zaid,yes,sugarcane
67,91,93,299,18,sandy,zaid,no,cotton
28,23,41,204,17,loamy,kharif,no,maize
93,50,66,125,23,clay,kharif,yes,sugarcane
19,82,42,173,35,sandy,zaid,no,sugarcane
81,64,82,163,18,sandy,kharif,yes,rice
27,55,98,66,37,clay,rabi,yes,maize
28,21,96,259,38,sandy,rabi,yes,maize
58,65,30,235,24,loamy,kharif,no,sugarcane
27,91,73,150,18,sandy,zaid,no,maize
43,33,80,258,26,loamy,rabi,yes,wheat
49,88,10,163,19,loamy,rabi,no,wheat
66,26,23,57,24,loamy,zaid,no,wheat
51,79,33,142,25,loamy,rabi,no,sugarcane
83,72,40,104,21,clay,kharif,no,maize
22,67,22,222,24,sandy,kharif,yes,rice
81,64,21,103,37,loamy,zaid,no,maize
29,80,53,51,24,sandy,kharif,yes,wheat
38,97,30,76,23,sandy,kharif,no,sugarcane
42,54,36,201,24,loamy,kharif,yes,rice
46,66,32,114,32,clay,rabi,no,wheat
66,98,93,108,19,sandy,kharif,no,maize
19,24,94,136,30,loamy,zaid,no,wheat
94,46,10,115,23,sandy,kharif,yes,sugarcane
40,79,33,98,18,sandy,rabi,no,cotton
66,18,18,97,19,clay,zaid,yes,sugarcane
22,64,86,203,30,loamy,zaid,no,rice
81,70,90,82,30,loamy,zaid,no,sugarcane
47,87,85,114,39,sandy,kharif,yes,sugarcane
95,98,50,289,31,sandy,kharif,yes,maize
98,10,22,288,26,clay,zaid,no,wheat
39,20,65,90,29,loamy,rabi,yes,wheat
69,42,14,245,32,loamy,zaid,no,sugarcane
17,51,79,101,30,sandy,kharif,no,rice
57,44,19,196,17,clay,zaid,no,cotton
65,96,24,287,25,loamy,zaid,yes,wheat
49,15,67,191,31,sandy,kharif,yes,sugarcane
64,15,69,225,34,sandy,zaid,yes,wheat
76,100,77,260,16,loamy,rabi,no,cotton
41,81,100,210,28,loamy,rabi,yes,maize
46,38,92,254,25,sandy,zaid,yes,cotton
48,70,20,64,35,sandy,rabi,yes,cotton
57,63,52,112,19,sandy,rabi,no,cotton
84,10,35,68,17,loamy,rabi,yes,maize
74,21,56,102,21,sandy,kharif,no,maize
95,42,52,81,22,clay,rabi,yes,rice
10,92,17,208,16,loamy,kharif,yes,wheat
81,45,92,263,20,loamy,rabi,no,wheat
10,39,54,216,33,clay,zaid,yes,wheat
60,15,53,158,23,loamy,zaid,yes,rice
60,89,94,83,35,loamy,rabi,yes,sugarcane
41,10,14,99,31,loamy,rabi,yes,maize
91,65,66,166,37,sandy,kharif,yes,maize
16,69,42,200,33,loamy,rabi,yes,rice
40,53,50,213,23,clay,rabi,no,cotton
68,50,87,276,28,sandy,zaid,no,wheat
19,94,81,189,21,loamy,kharif,no,wheat
76,33,32,122,38,sandy,zaid,yes,cotton
58,68,83,296,21,clay,zaid,no,wheat
63,92,98,132,18,loamy,kharif,no,maize
45,23,78,233,18,loamy,zaid,yes,wheat
51,14,33,253,38,loamy,kharif,no,sugarcane
84,41,82,66,15,sandy,kharif,yes,wheat
96,12,17,266,21,clay,zaid,yes,wheat
42,22,57,165,23,clay,rabi,yes,cotton
93,73,90,294,39,sandy,rabi,yes,wheat
60,59,56,271,24,clay,kharif,no,wheat
40,84,16,101,31,clay,kharif,no,rice
19,81,33,68,35,sandy,kharif,no,sugarcane
45,65,39,151,38,sandy,zaid,no,cotton
41,73,95,247,31,clay,zaid,yes,maize
70,53,88,144,29,clay,kharif,no,rice
85,98,19,92,40,loamy,rabi,yes,maize
38,11,89,215,19,loamy,zaid,yes,wheat
51,90,60,196,17,loamy,rabi,no,wheat
71,61,31,138,16,clay,rabi,no,wheat
10,81,82,127,22,sandy,kharif,yes,cotton
37,14,53,220,28,sandy,kharif,no,sugarcane
39,68,13,236,16,loamy,rabi,yes,maize
12,66,12,240,22,clay,kharif,yes,sugarcane
68,48,49,182,23,loamy,rabi,no,sugarcane
33,87,74,106,30,loamy,rabi,no,sugarcane
100,72,11,215,19,clay,kharif,no,cotton
19,37,19,154,22,sandy,kharif,yes,maize
42,16,69,295,37,loamy,zaid,no,maize
36,96,85,258,24,loamy,rabi,no,sugarcane
50,51,27,135,19,loamy,kharif,no,maize
55,16,99,116,18,loamy,kharif,yes,sugarcane
60,27,17,213,40,sandy,kharif,yes,cotton
97,82,80,62,33,sandy,kharif,no,rice
44,58,32,268,39,sandy,zaid,no,cotton
61,96,16,185,33,loamy,kharif,yes,maize
38,39,89,63,37,clay,rabi,yes,cotton
25,20,13,243,19,loamy,rabi,no,sugarcane
100,51,81,273,35,sandy,kharif,yes,wheat
35,57,70,201,40,sandy,zaid,yes,wheat
34,68,36,81,38,sandy,rabi,no,sugarcane
82,23,50,259,33,clay,kharif,no,maize
93,69,66,148,16,loamy,rabi,no,sugarcane
69,42,39,170,27,sandy,rabi,no,wheat
52,20,80,169,16,clay,rabi,no,maize
99,21,72,144,37,clay,kharif,no,maize
65,100,18,167,36,clay,rabi,yes,rice
94,24,38,68,17,sandy,rabi,yes,wheat
99,43,42,288,38,clay,zaid,no,maize
70,84,76,219,38,loamy,rabi,no,rice
80,42,27,249,18,sandy,kharif,no,wheat
15,30,37,136,30,sandy,rabi,yes,rice
86,57,54,164,31,clay,rabi,yes,cotton
32,82,58,217,18,sandy,kharif,no,sugarcane
56,22,37,296,38,clay,rabi,yes,sugarcane
28,61,47,111,26,clay,kharif,no,maize
82,52,84,216,30,loamy,rabi,no,rice
81,48,86,211,24,clay,kharif,yes,rice
79,15,92,287,39,clay,zaid,no,maize
